run_number,world-size,patch_resolution,landscape_number,hab_amount,clumpiness,specie,perceptual_range,initial_individuals,mortality_habitat,mortality_matrix,min_step_before_settle,dmean,dsd,origin_site,min_Ci,var_Ci,behaviours,discharge-rate,En_mean,En_sd,import_hab_quality_surface,hab_quality_folder,hab_quality_per_frag,ac_simple,autocorrelation,ac,
0,100,10,3,5,32,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
1,100,10,0,29,59,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
2,100,10,6,30,15,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
3,100,10,4,49,92,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
4,100,10,1,50,59,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
5,100,10,2,57,41,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
6,100,10,5,65,30,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
7,100,10,7,18,80,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
8,100,10,8,6,24,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
9,100,10,9,24,45,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
10,100,10,10,5,53,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
11,100,10,12,20,42,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
12,100,10,14,17,96,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
13,100,10,11,58,94,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
14,100,10,13,46,95,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
15,100,10,15,20,47,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
16,100,10,17,51,96,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
17,100,10,18,36,66,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
18,100,10,16,67,49,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
19,100,10,20,21,71,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
20,100,10,19,54,31,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
21,100,10,21,35,99,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
22,100,10,22,19,36,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
23,100,10,23,19,71,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
24,100,10,25,23,88,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
25,100,10,24,50,19,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
26,100,10,26,10,88,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
27,100,10,27,10,50,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
28,100,10,28,20,14,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
29,100,10,29,36,39,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
30,100,10,31,43,81,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
31,100,10,30,66,45,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
32,100,10,32,30,50,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
33,100,10,34,5,57,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
34,100,10,36,10,66,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
35,100,10,37,6,18,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,0,0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
36,100,10,38,18,15,DA,200,1000,0.001,0.002,5,300,50,false,0.5,0.2,[0 0.5 1 1.5 2],0.01,0.2,0.1,false,hab_quality/256/,false,true,4,0,
